league_code,date,home_team,away_team,home_goals,away_goals,full_time_result_code,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,source_file,season,league,match_result,goal_difference,shot_difference,shots_on_target_difference,corner_difference,foul_difference,yellow_card_difference,red_card_difference,home_matches_played_before,home_win_rate_before,home_goals_scored_last_5,home_goals_conceded_last_5,home_points_last_5,home_rest_days,away_matches_played_before,away_win_rate_before,away_goals_scored_last_5,away_goals_conceded_last_5,away_points_last_5,away_rest_days,home_advantage,team_experience_difference,win_rate_before_difference,goals_scored_last_5_difference,goals_conceded_last_5_difference,points_last_5_difference
D1,2021-08-20,RB Leipzig,Stuttgart,4,0,H,26.0,11.0,11.0,5.0,10.0,11.0,6.0,2.0,0.0,3.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,4,15.0,6.0,4.0,-1.0,-3.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,5.0,1.0,3.0,6.0,1.0,0.0,-1.0,-5.0,0.0,-3.0
F1,2021-08-20,Brest,Paris SG,2,4,A,11.0,16.0,3.0,8.0,8.0,7.0,3.0,9.0,1.0,2.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Away Win,-2,-5.0,-5.0,-6.0,1.0,-1.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.5,3.0,6.0,1.0,0.0,-1.0,-2.0,-0.5,-2.0
SP1,2021-08-20,Betis,Cadiz,1,1,D,16.0,8.0,7.0,3.0,12.0,10.0,4.0,5.0,4.0,0.0,0.0,0.0,2122_sp1.csv,2122,Spain La Liga,Draw,0,8.0,4.0,-1.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
D1,2021-08-21,Bochum,Mainz,2,0,H,9.0,16.0,5.0,3.0,15.0,19.0,2.0,7.0,4.0,3.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,2,-7.0,2.0,-5.0,-4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,3.0,6.0,1.0,0.0,-1.0,-1.0,1.0,-3.0
D1,2021-08-21,Ein Frankfurt,Augsburg,0,0,D,20.0,4.0,5.0,0.0,8.0,10.0,6.0,1.0,3.0,3.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Draw,0,16.0,5.0,5.0,-2.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0
D1,2021-08-21,Freiburg,Dortmund,2,1,H,8.0,19.0,4.0,2.0,14.0,14.0,0.0,10.0,1.0,4.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,1,-11.0,2.0,-10.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,5.0,2.0,3.0,7.0,1.0,0.0,-1.0,-5.0,-2.0,-2.0
D1,2021-08-21,Greuther Furth,Bielefeld,1,1,D,20.0,9.0,5.0,2.0,12.0,15.0,5.0,0.0,4.0,2.0,0.0,1.0,2122_d1.csv,2122,Germany Bundesliga,Draw,0,11.0,3.0,5.0,-3.0,2.0,-1.0,1.0,0.0,1.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,5.0,-1.0
D1,2021-08-21,Hertha,Wolfsburg,1,2,A,12.0,12.0,4.0,3.0,12.0,21.0,4.0,4.0,1.0,2.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Away Win,-1,0.0,1.0,0.0,-9.0,-1.0,0.0,1.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,1.0,0.0,3.0,7.0,1.0,0.0,-1.0,0.0,3.0,-3.0
D1,2021-08-21,Leverkusen,M'gladbach,4,0,H,13.0,11.0,6.0,6.0,9.0,11.0,7.0,3.0,4.0,2.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,4,2.0,0.0,4.0,-2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
E0,2021-08-21,Aston Villa,Newcastle,2,0,H,10.0,9.0,2.0,1.0,8.0,18.0,3.0,4.0,3.0,4.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,2,1.0,1.0,-1.0,-10.0,-1.0,0.0,1.0,0.0,2.0,3.0,0.0,7.0,1.0,0.0,2.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,-1.0,0.0
E0,2021-08-21,Brighton,Watford,2,0,H,13.0,10.0,3.0,1.0,11.0,6.0,7.0,2.0,4.0,0.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,2,3.0,2.0,5.0,5.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,1.0,3.0,2.0,3.0,7.0,1.0,0.0,0.0,-1.0,-1.0,0.0
E0,2021-08-21,Crystal Palace,Brentford,0,0,D,7.0,14.0,2.0,3.0,12.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Draw,0,-7.0,-1.0,-2.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,1.0,2.0,0.0,3.0,8.0,1.0,0.0,-1.0,-2.0,3.0,-3.0
E0,2021-08-21,Leeds,Everton,2,2,D,17.0,17.0,4.0,8.0,6.0,13.0,8.0,5.0,2.0,4.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Draw,0,0.0,-4.0,3.0,-7.0,-2.0,0.0,1.0,0.0,1.0,5.0,0.0,7.0,1.0,1.0,3.0,1.0,3.0,7.0,1.0,0.0,-1.0,-2.0,4.0,-3.0
E0,2021-08-21,Liverpool,Burnley,2,0,H,27.0,9.0,9.0,3.0,6.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,2,18.0,6.0,4.0,-6.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,7.0,1.0,0.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,2.0,-2.0,3.0
E0,2021-08-21,Man City,Norwich,5,0,H,16.0,1.0,4.0,0.0,13.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,5,15.0,4.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,-2.0,0.0
F1,2021-08-21,Monaco,Lens,0,2,A,9.0,4.0,2.0,2.0,11.0,14.0,13.0,3.0,1.0,1.0,1.0,1.0,2122_f1.csv,2122,France Ligue 1,Away Win,-2,5.0,0.0,10.0,-3.0,0.0,0.0,2.0,0.0,0.5,1.0,0.5,8.0,2.0,0.0,1.5,1.5,1.0,6.0,1.0,0.0,0.0,-1.0,-0.5,-0.5
F1,2021-08-21,St Etienne,Lille,1,1,D,10.0,8.0,2.0,6.0,14.0,10.0,5.0,3.0,1.0,3.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,2.0,-4.0,2.0,4.0,-2.0,0.0,2.0,0.0,1.5,1.5,1.0,6.0,2.0,0.0,1.5,3.5,0.5,7.0,1.0,0.0,0.0,0.0,-2.0,0.5
I1,2021-08-21,Empoli,Lazio,1,3,A,16.0,8.0,5.0,5.0,13.0,10.0,5.0,3.0,2.0,1.0,0.0,0.0,2122_i1.csv,2122,Italy Serie A,Away Win,-2,8.0,0.0,2.0,3.0,1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
I1,2021-08-21,Inter,Genoa,4,0,H,17.0,11.0,8.0,5.0,18.0,7.0,8.0,2.0,1.0,2.0,0.0,0.0,2122_i1.csv,2122,Italy Serie A,Home Win,4,6.0,3.0,6.0,11.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
I1,2021-08-21,Torino,Atalanta,1,2,A,19.0,6.0,8.0,2.0,17.0,13.0,5.0,1.0,2.0,2.0,0.0,0.0,2122_i1.csv,2122,Italy Serie A,Away Win,-1,13.0,6.0,4.0,4.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
I1,2021-08-21,Verona,Sassuolo,2,3,A,12.0,15.0,4.0,8.0,11.0,12.0,7.0,4.0,3.0,2.0,1.0,0.0,2122_i1.csv,2122,Italy Serie A,Away Win,-1,-3.0,-4.0,3.0,-1.0,1.0,1.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
SP1,2021-08-21,Alaves,Mallorca,0,1,A,9.0,12.0,4.0,2.0,14.0,15.0,1.0,8.0,3.0,3.0,1.0,0.0,2122_sp1.csv,2122,Spain La Liga,Away Win,-1,-3.0,2.0,-7.0,-1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,3.0,-1.0
